         PassengerId  Survived  Pclass     Sex   Age  SibSp  Parch  \
    0              1         0       3    male  22.0      1      0   
    1              2         1       1  female  38.0      1      0   
    2              3         1       3  female  26.0      0      0   
    3              4         1       1  female  35.0      1      0   
    4              5         0       3    male  35.0      0      0   
    5              6         0       3    male   NaN      0      0   
    6              7         0       1    male  54.0      0      0   
    7              8         0       3    male   2.0      3      1   
    8              9         1       3  female  27.0      0      2   
    9             10         1       2  female  14.0      1      0   
    10            11         1       3  female   4.0      1      1   
    11            12         1       1  female  58.0      0      0   
    12            13         0       3    male  20.0      0      0   
    13            14         0       3    male  39.0      1      5   
    14            15         0       3  female  14.0      0      0   
    15            16         1       2  female  55.0      0      0   
    16            17         0       3    male   2.0      4      1   
    17            18         1       2    male   NaN      0      0   
    18            19         0       3  female  31.0      1      0   
    19            20         1       3  female   NaN      0      0   
    20            21         0       2    male  35.0      0      0   
    21            22         1       2    male  34.0      0      0   
    22            23         1       3  female  15.0      0      0   
    23            24         1       1    male  28.0      0      0   
    24            25         0       3  female   8.0      3      1   
    25            26         1       3  female  38.0      1      5   
    26            27         0       3    male   NaN      0      0   
    27            28         0       1    male  19.0      3      2   
    28            29         1       3  female   NaN      0      0   
    29            30         0       3    male   NaN      0      0   
    ..           ...       ...     ...     ...   ...    ...    ...   
    861          862         0       2    male  21.0      1      0   
    862          863         1       1  female  48.0      0      0   
    863          864         0       3  female   NaN      8      2   
    864          865         0       2    male  24.0      0      0   
    865          866         1       2  female  42.0      0      0   
    866          867         1       2  female  27.0      1      0   
    867          868         0       1    male  31.0      0      0   
    868          869         0       3    male   NaN      0      0   
    869          870         1       3    male   4.0      1      1   
    870          871         0       3    male  26.0      0      0   
    871          872         1       1  female  47.0      1      1   
    872          873         0       1    male  33.0      0      0   
    873          874         0       3    male  47.0      0      0   
    874          875         1       2  female  28.0      1      0   
    875          876         1       3  female  15.0      0      0   
    876          877         0       3    male  20.0      0      0   
    877          878         0       3    male  19.0      0      0   
    878          879         0       3    male   NaN      0      0   
    879          880         1       1  female  56.0      0      1   
    880          881         1       2  female  25.0      0      1   
    881          882         0       3    male  33.0      0      0   
    882          883         0       3  female  22.0      0      0   
    883          884         0       2    male  28.0      0      0   
    884          885         0       3    male  25.0      0      0   
    885          886         0       3  female  39.0      0      5   
    886          887         0       2    male  27.0      0      0   
    887          888         1       1  female  19.0      0      0   
    888          889         0       3  female   NaN      1      2   
    889          890         1       1    male  26.0      0      0   
    890          891         0       3    male  32.0      0      0   
