Index,Year,Deaths
1,2064,51
2,2005,93
3,2005,61
4,2041,57
5,2003,81
6,2053,98
7,2017,19
8,2099,74
9,2041,16
10,2061,92
11,2011,88
12,2050,72
13,2049,57
14,2083,76
15,2071,36
16,2055,65
17,2081,33
18,2007,19
19,2099,43
20,2041,81
21,2072,67
22,2014,52
23,2046,66
24,2003,46
25,2084,28
26,2048,37
27,2085,16
28,2064,54
29,2042,68
30,2082,06
31,2028,43
32,2043,22
33,2033,50
34,2014,28
35,2091,22
36,2044,09
37,2061,42
38,2005,63
39,2099,56
40,2074,24
41,2017,18
42,2018,43
43,2041,58
44,2045,30
45,2065,79
46,2093,10
47,2092,38
48,2032,82
49,2065,44
50,2074,26
51,2049,49
52,2053,59
53,2073,50
54,2021,29
55,2043,71
56,2090,39
57,2019,29
58,2016,66
59,2044,12
60,2004,66
61,2060,22
62,2045,51
63,2070,47
64,2077,74
65,2009,08
66,2090,65
67,2027,47
68,2003,97
69,2082,35
70,2066,23
71,2051,88
72,2056,47
73,2011,05
74,2040,47
75,2038,90
76,2042,22
77,2002,74
78,2097,45
79,2067,32
80,2015,35
81,2091,00
82,2002,66
83,2090,68
84,2060,26
85,2022,96
86,2096,75
87,2012,14
88,2097,00
89,2058,17
90,2033,46
91,2001,38
92,2061,31
93,2065,67
94,2040,79
95,2076,00
96,2048,90
97,2009,99
98,2013,71
99,2074,73
100,2023,49
101,2080,47
102,2055,62
103,2084,65
104,2065,76
105,2024,08
106,2064,61
107,2018,54
108,2096,90
109,2006,73
110,2080,84
111,2085,75
112,2073,83
113,2075,98
114,2000,56
115,2069,22
116,2017,16
117,2050,67
118,2065,54
119,2080,42
120,2058,92
121,2051,44
122,2013,01
123,2019,30
124,2067,11
125,2033,96
126,2063,64
127,2040,69
128,2058,62
129,2080,54
130,2000,94
131,2048,27
132,2048,17
133,2025,14
134,2075,59
135,2090,31
136,2087,49
137,2036,44
138,2023,48
139,2094,69
140,2040,58
141,2069,54
142,2036,41
143,2066,01
144,2014,09
145,2003,96
146,2021,48
147,2078,79
148,2059,89
149,2080,48
150,2065,13
151,2010,02
152,2038,98
153,2033,05
154,2015,05
155,2001,06
156,2079,27
157,2028,93
158,2059,62
159,2071,09
160,2077,90
161,2035,62
162,2042,96
163,2057,54
164,2059,44
165,2059,61
166,2010,64
167,2004,20
168,2006,16
169,2038,46
170,2093,41
171,2091,09
172,2094,27
173,2026,36
174,2049,44
175,2027,66
176,2096,50
177,2014,39
178,2082,03
179,2010,57
180,2010,99
181,2027,58
182,2079,00
183,2011,10
184,2032,53
185,2032,89
186,2051,26
187,2027,35
188,2014,22
189,2002,02
190,2010,14
191,2055,09
192,2055,18
193,2076,34
194,2011,06
195,2025,66
196,2091,32
197,2004,46
198,2018,76
199,2037,66
200,2002,79
